,Image,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
45,145,119.78669477706345,22.60618072994749,-12.557411233974015,3.26610354598325,4.4479035552648485,0.001169261877187163,0.0004262712068778549,-0.00016061723006162234,1.0694210492374778,1.9141568892660954,138.80858371129258,31.51562358922672,-16.11737234924753,2.4532647911833356,3.5423982413322705,1374.517142857143,126.69379891978325,-109.32157836608043,9.785779548631027,11.636678126084135
46,146,150.1291070114647,19.01536776350877,-16.931355173974858,4.406552618946357,5.614672584186208,0.0017515275080050871,0.0003275265029382398,-0.00027243257005754075,2.0496309170609686,2.913179931849525,181.42356993090107,25.943637315364683,-22.75019662058297,3.5550649733896877,4.668454595662033,1515.1571428571428,122.43725758583882,-118.8344357322195,10.92209873815587,12.81421881557442
47,147,168.51271498731228,14.878608191795774,-20.81918619758141,5.163431228049749,6.363185046828668,0.002153544343105359,0.00021937824790033348,-0.0003764261503779807,2.783935273470689,3.6415042715872405,214.51233302284987,19.62678820755946,-28.72984432606586,4.456078431073194,5.561757907899706,1517.597142857143,114.66544344890816,-124.93546022801098,11.00218263979236,12.88119991770026
48,148,177.50407908540745,10.314671731660335,-24.10928152811623,5.61900625411558,6.775948022853369,0.0024997275794949475,0.00010493146573427547,-0.0004696122311279951,3.446941496077744,4.2739089772110415,227.91525142895264,12.746438118469836,-33.88463493833118,4.9198574934903565,5.986081871820474,1462.1771428571428,103.60149158572624,-127.44948650016087,10.654330108563263,12.466296479467744
49,149,178.2119951386985,5.45459269429543,-26.707179864647223,5.806138918394263,6.8870519021323515,0.0027065496932184596,-1.2527983776308596e-05,-0.0005493153644764176,3.913695041526445,4.686318099695896,236.09096648462005,5.50012747017777,-38.066570245063296,5.272483729407462,6.268640844015275,1357.557142857143,89.56305701277444,-126.30433481878698,9.943964146309325,11.636856588548856
50,150,173.98836673583273,0.4379078840859436,-28.53829344240567,5.8327924545438465,6.806642766301766,0.0026784085604461987,-0.00012962774472866347,-0.000613247208928923,4.0417373350420265,4.737833336653191,233.66961925639805,-1.9040962912424755,-41.15558349747903,5.3864177241802915,6.283907097715056,1214.997142857143,72.95319455360932,-121.53288341589467,8.956227952654466,10.481442153474042
51,151,165.2639510113804,-4.775970153766809,-29.571332030877148,5.714808106560755,6.548146149118386,0.0027401961364423182,-0.0002470905375598876,-0.0006609308298240205,4.299740732887844,4.895400324933072,218.9276835460331,-9.522039634755526,-43.11011484610491,5.223526891208835,5.991521755232302,1035.4771428571428,53.52264892872227,-112.90194996805903,7.700761691194522,9.005909927269673
52,152,147.47957811456445,-9.488785751088505,-29.713399725327644,5.275491026732358,5.955212512722637,0.00265452768590198,-0.000349406938670807,-0.0006869603972373817,4.323702902910022,4.80955930496111,200.72896397078463,-16.33752768261055,-43.734016536211364,4.963248107919873,5.589671700205151,827.8771428571429,33.98685246868264,-101.7592312217582,6.225909625176985,7.2904683674370245
53,153,130.81043748278864,-14.11379116412073,-29.023654177622202,4.870704191305986,5.371804200253376,0.002527080544899698,-0.0004457763330467933,-0.0006946253757712596,4.2789712558878685,4.637151264072026,179.2758938626214,-22.952339810529303,-43.14940742222275,4.623969782258854,5.0857778524299615,594.1771428571428,12.749128075316989,-87.32474799577977,4.55972105642764,5.344528372757134
54,154,104.32137720157165,-18.333578204868992,-27.50061601796554,4.122264516847161,4.430356061752976,0.002378813734511593,-0.0005293471279550757,-0.0006823470973271843,4.185851269970531,4.406071246233633,152.1533236695635,-28.908171677936384,-41.325943882979665,4.139990089467895,4.423923753903186,344.7371428571428,-8.854634108099773,-70.38310054780864,2.7729655775411373,3.2554890144280164
55,155,74.82356365590385,-22.026993370617834,-25.188012905130467,3.2550141438993863,3.36125166704717,0.0019778393376829275,-0.0005977199382062871,-0.0006504780812210482,3.70712232772468,3.783059578235751,118.5331857034854,-34.034026529461705,-38.31597903315827,3.4884653162170385,3.58637260950904,99.55714285714288,-30.20417257664377,-51.420697293784286,1.0176245162786064,1.1840104351498604
56,156,45.29663590635017,-25.0879957213978,-22.152241547002795,2.3655307568208395,2.26686409290015,0.0015643747281182216,-0.0006489317250566039,-0.0005999333127096223,3.1857149813912673,3.1151892862014936,81.70143929317405,-38.182736921909765,-34.20593140076752,2.7411642683162176,2.65023419279866,-93.80285714285712,-50.686524794147125,-30.981964185000678,0.338130333400114,0.4926590069985024
57,157,22.105628989512358,-27.42870140121423,-18.480461397348524,1.6647807816556746,1.3640427304784046,0.0011832656862163732,-0.0006815121566391994,-0.0005321639730231371,2.6840615326585526,2.469097741581727,51.11479210961005,-41.235190020688805,-29.113803781252585,2.1115920314708356,1.8344352632382164,-207.5628571428571,-69.71362584381671,-9.653713798321057,1.0810522138367484,1.5520588365633814
